id,imie,nazwisko,plec
1229,Dalbor,Kulesz,MEZCZYZNA
1230,Virgie,Miśnik,KOBIETA
1231,Justyn,Basiak,MEZCZYZNA
1232,Miłosław,Sytniczuk,MEZCZYZNA
1233,Mariarca,Anav,KOBIETA
1234,Bich,Siemież,KOBIETA
1235,Esi̇la,Więckowicz,KOBIETA
1236,Beniamin,Hajduczenia,MEZCZYZNA
1237,Wawrzyniec,Iwaniak,MEZCZYZNA
1238,Roula,Kotassa,KOBIETA
1239,Albert,Retych,MEZCZYZNA
1240,Ireneusz,Michailidis,MEZCZYZNA
1241,Matin,Rudnyeva,KOBIETA
1242,Protazy,Sidelnik,MEZCZYZNA
1243,Konrad,Fulara,MEZCZYZNA
1244,Inocenty,Chełmicki,MEZCZYZNA
1245,Niecisław,Beda,MEZCZYZNA
1246,Dzwonimierz,Liszkiewicz,MEZCZYZNA
1247,Kryspin,Stroiński,MEZCZYZNA
1248,Bodosław,Szafarowicz,MEZCZYZNA
1249,Aleutsina,Monchenko,KOBIETA
1250,Baltazar,Banaczek,MEZCZYZNA
1251,Tachmina,Darvai,KOBIETA
1252,Heliodor,Pyrczak,MEZCZYZNA
1253,Tęgomir,Chwałko,MEZCZYZNA
1254,Faris,Aksjonow,MEZCZYZNA
1255,Godfryd,Chodacki,MEZCZYZNA
1256,Anzelm,Pantak,MEZCZYZNA
1257,Petia,Rawski,KOBIETA
1258,Jacek,Majowski,MEZCZYZNA
1259,Bernardka,Korliuchenko,KOBIETA
1260,Aouatif,Sulkowicz,KOBIETA
1261,Tuoi,Wielb,KOBIETA
1262,Gabor,Wypijewski,MEZCZYZNA
1263,Ha linh,Pozyrewska,KOBIETA
1264,Serafin,Przybiliński,MEZCZYZNA
1265,Basti,Juraske,KOBIETA
1266,Rezi,Kilinowski,MEZCZYZNA
1267,Mściwoj,Łoin,MEZCZYZNA
1268,Thị hợi,Slobodniuc,KOBIETA
1269,Jensen,Pashchyna,KOBIETA
1270,Oli,Prokopiszyn,KOBIETA
1271,Alysia,Sziffer,KOBIETA
1272,Radosław,Motor,MEZCZYZNA
1273,Costanza,Ślot,KOBIETA
1274,Amieliia,Zozulea,KOBIETA
1275,Teobald,Manin,MEZCZYZNA
1276,Medianca,Zandał,KOBIETA
1277,Sędzisław,Terlega,MEZCZYZNA
1278,Annastasiia,Zgółka,KOBIETA
1279,Maurycjusz,Darwish,MEZCZYZNA
1280,Hugo,Klimeczko,MEZCZYZNA
1281,Juri,Grajber,MEZCZYZNA
1282,Gaweł,Bawer,MEZCZYZNA
1283,Tejal,Resl,KOBIETA
1284,Nasif,Maciążka,MEZCZYZNA
1285,Zvezdelina,Burzan,KOBIETA
1286,Boguchwał,Trzaska-durski,MEZCZYZNA
1287,Madita,Herynh,KOBIETA
1288,Leszek,Ignacek,MEZCZYZNA
1289,Marta-alina,Wona,KOBIETA
1290,Zenon,Gondro,MEZCZYZNA
1291,Olgierd,Byrdy,MEZCZYZNA
1292,Beat,Ambrożewicz,MEZCZYZNA
1293,Giunash,Obervaniuk,KOBIETA
1294,Romeo,Rakota,MEZCZYZNA
1295,Henia,Poprych,KOBIETA
1296,Roman,Błach,MEZCZYZNA
1297,Miron,Rogiński,MEZCZYZNA
1298,Więcesława,Chokshi,KOBIETA
1299,Shaista,Shtykhaliuk,KOBIETA
1300,Wiktor,Schooley,MEZCZYZNA
1301,Lihee,Bober-sowa,KOBIETA
1302,Bożidar,Ślęzak,MEZCZYZNA
1303,Dargosław,Epsztein,MEZCZYZNA
1304,Iryka,Rütten,KOBIETA
1305,Sabokhat,Choroszczo,KOBIETA
1306,Zlata,Grzymalska,KOBIETA
1307,Ludwik,Deszczka,MEZCZYZNA
1308,Kamil,Dawydiuk,MEZCZYZNA
1309,Ginalyn,Ruhmann,KOBIETA
1310,Danislava,Avraam,KOBIETA
1311,Radosław,Jarus,MEZCZYZNA
1312,Elianis,Fonariova,KOBIETA
1313,Suzan,Ruśka,KOBIETA
1314,Ingeborg,Chlebiecka,KOBIETA
1315,Maryn,Gajdzicki,MEZCZYZNA
1316,Kalliope,Medykovska,KOBIETA
1317,Świętosław,Surawski,MEZCZYZNA
1318,Agapit,Całka,MEZCZYZNA
1319,Anastazy,Matar,MEZCZYZNA
1320,Anastazy,Holender,MEZCZYZNA
1321,Mokhichekhra,Maskaleva,KOBIETA
1322,Lidyia,Valka,KOBIETA
1323,Gaj,Rokicki afonso,MEZCZYZNA
1324,Żytomir,Suwaj,MEZCZYZNA
1325,Tamiła,Wegner,KOBIETA
1326,Łukasz,Lechman,MEZCZYZNA
1327,Heng,Shorodok,KOBIETA
1328,Zygmunta,Kozimor-ledochowski,MEZCZYZNA
1329,Edgar,Gimza,MEZCZYZNA
1330,Fryc,Kiepal,MEZCZYZNA
1331,Wei,Benha,KOBIETA
1332,Andrea patricia,Wdowczak,KOBIETA
1333,Ashwaq,Burzyńska-sikora,KOBIETA
1334,Tugsjargal,Verinkina,KOBIETA
1335,Ayka,Rezantseva,KOBIETA
1336,Sesilia,Khadisova,KOBIETA
1337,Salomon,Majdziński,MEZCZYZNA
1338,Zeynep sude,Lanting,KOBIETA
1339,Krystian,Gulcz,MEZCZYZNA
1340,Jacenty,Lemieszek-bury,MEZCZYZNA
1341,Murat,Kosmal,MEZCZYZNA
1342,Albert,Czerzniewski,MEZCZYZNA
1343,Mursal,Charabin,KOBIETA
1344,Katalaya,Kotarek,KOBIETA
1345,Chrystian,Biłat,MEZCZYZNA
1346,Walery,Piszczak,MEZCZYZNA
1347,Stefan,Kuchmiichuk,MEZCZYZNA
1348,Barbare,Amatucci,KOBIETA
1349,Lillia,Iwacik,KOBIETA
1350,Samson,Pabich,MEZCZYZNA
1351,Zenobiusz,Słoboda,MEZCZYZNA
1352,Elenka,Doronowska,KOBIETA
1353,Botagoz,Bohuzh,KOBIETA
1354,Łazarz,Żabczyński,MEZCZYZNA
1355,Alieksandra,Janik-maj,KOBIETA
1356,Lilianne,Taramas,KOBIETA
1357,Maurycy,Lebek,MEZCZYZNA
1358,Winifred,Karisova,KOBIETA
1359,Zlata-adelina,Tvarok,KOBIETA
1360,Zhaklin,Rojkiewicz,KOBIETA
1361,Maryiam,Jaseniuk,KOBIETA
1362,Yuntong,Widórska,KOBIETA
1363,Miłowit,Słabiniak,MEZCZYZNA
1364,Mieszko,Męczyński,MEZCZYZNA
1365,Kätlin,Maziarkina,KOBIETA
1366,Tadeusz,Kaltenberg,MEZCZYZNA
1367,Miłowan,Ryder,MEZCZYZNA
1368,Dobrogost,Śniegowski,MEZCZYZNA
1369,Emika,Kawłatow,KOBIETA
1370,Radowit,Zdun,MEZCZYZNA
1371,Celestyn,Shewakramani,MEZCZYZNA
1372,Bożimir,Latawiec,MEZCZYZNA
1373,Protazy,Machola,MEZCZYZNA
1374,Vladilena,Pazyuk,KOBIETA
1375,Jaein,Prokop-pokrywka,KOBIETA
1376,Bassma,Hirshveld,KOBIETA
1377,Vi,Machowska-krawczyk,KOBIETA
1378,Jarowit,Jaroni,MEZCZYZNA
1379,Sulibor,Gaworski,MEZCZYZNA
1380,Aspram,Chitadze,KOBIETA
1381,Ionah,Zagrobelna,KOBIETA
1382,Emelly,Procharska,KOBIETA
1383,Harleen,Yuliastari,KOBIETA
1384,Izajasz,Gocal,MEZCZYZNA
1385,Gursharanjit,Rukomanova,KOBIETA
1386,Monica alejandra,Żara,KOBIETA
1387,Bakhytkul,Letnianka,KOBIETA
1388,Teia,Pikis,KOBIETA
1389,Wenetka,Kubeyeva,KOBIETA
1390,Aleksander,Boldyriev,MEZCZYZNA
1391,Inabat,Szczepańska-michalska,KOBIETA
1392,Feryda,Skwarszczow,KOBIETA
1393,Tzu-ying,Fleps,KOBIETA
1394,Linh chi,Narwani,KOBIETA
1395,Grzegorz,Fałczyński,MEZCZYZNA
1396,Keerti,Mamlieieva,KOBIETA
1397,Zefiryn,Tylus,MEZCZYZNA
1398,Abelard,Oblej,MEZCZYZNA
1399,Manju,Kirzynowska,KOBIETA
1400,Iliia,Basnet,KOBIETA
1401,Omar,Pater-ziemięcki,MEZCZYZNA
1402,Adam,Szejki,MEZCZYZNA
1403,Juditha,Spirzak,KOBIETA
1404,Jevgēnija,Krzyżanowska-kawa,KOBIETA
1405,Wespazjan,Janas,MEZCZYZNA
1406,Claris,Helias,KOBIETA
1407,Namya,Palkowski,KOBIETA
1408,Hieronim,Sekretarczyk,MEZCZYZNA
1409,Ładysław,Kasza,MEZCZYZNA
1410,Wojciech,Cnotka,MEZCZYZNA
1411,Pabian,Kalmanowicz,MEZCZYZNA
1412,Fozia,Shuturmynska,KOBIETA
1413,Wojsław,Gubienia,MEZCZYZNA
1414,Katsyaryna,Kubińska,KOBIETA
1415,Monica del pilar,Hucman,KOBIETA
1416,Gaganpreet,Woźniak-kujawa,KOBIETA
1417,Grzymisława,Simmt,KOBIETA
1418,Patryk,Grzyśka,MEZCZYZNA
1419,Özgül,Kokhtiuk,KOBIETA
1420,Savvina,Abdiyeva,KOBIETA
1421,Nemezis,Shchyboruk,KOBIETA
1422,Perpetue,Durnicka,KOBIETA
1423,Pafnucy,Łochowicz,MEZCZYZNA
1424,Bayartuya,Gonczar,NIEOKRESLONY
1425,Lubomił,Łagoński,MEZCZYZNA
1426,Ursyna,Nocun,KOBIETA
1427,Avani,Yemialyanchyk,KOBIETA
1428,Ewald,Bronarczyk,MEZCZYZNA
1429,Stoigniew,Raźnik,MEZCZYZNA
1430,Szczepan,Lilis,MEZCZYZNA
1431,Armelle,Czajer,KOBIETA
1432,Rania,Moczulis,KOBIETA
1433,Huyên,Libizak,KOBIETA
1434,Thi men,Maływojtek,KOBIETA
1435,Ezaw,Kierych,MEZCZYZNA
1436,Natan,Szonert,MEZCZYZNA
1437,Berta,Digeva,KOBIETA
1438,Norbert,Dziadecki,MEZCZYZNA
1439,Ku,Chara,NIEOKRESLONY
1440,Laura melissa,Jafari-dehdari,KOBIETA
1441,Wojsław,Grynkiewicz,MEZCZYZNA
1442,Penka,Kremezna,KOBIETA
1443,Honorat,Zgrzeba,MEZCZYZNA
1444,Pasqualina,Abitante,KOBIETA
1445,Husajn,Bilański,MEZCZYZNA
1446,Ezaw,Sychowski,MEZCZYZNA
1447,Thi hoang,Mielkova,KOBIETA
1448,Dobrosław,Cogiel,MEZCZYZNA
1449,Samson,Stręfner,MEZCZYZNA
1450,Zeyra,Bondurovska,KOBIETA
1451,Konradyn,Zbierajewski,MEZCZYZNA
1452,Witołd,Oleksak,MEZCZYZNA
1453,Maria-aurora,Gutsevych,KOBIETA
1454,Juliana,Sawala-uryasz,KOBIETA
1455,Hi̇cran,Borshevska,KOBIETA
1456,Starwit,Gierzek,MEZCZYZNA
1457,Hektor,Chyt,MEZCZYZNA
1458,Rozália,Szemrak,KOBIETA
1459,Bożydar,Gojny,MEZCZYZNA
1460,Stoigniew,Leyk,MEZCZYZNA
1461,Yefymiia,Najdzicz,KOBIETA
1462,Evielina,Kaczerowska,KOBIETA
1463,Filip,Krankowski,MEZCZYZNA
1464,Alwin,Paniutycz,MEZCZYZNA
1465,Gaweł,Srebrzyński,MEZCZYZNA
1466,Azenith,Maćkowska,KOBIETA
1467,Michał,Szrek,MEZCZYZNA
1468,Miłogost,Byszko,MEZCZYZNA
1469,Florentyn,Kwilas,MEZCZYZNA
1470,Przedpełk,Grośty,MEZCZYZNA
1471,Anhela,Wenders,KOBIETA
1472,Gilia,Gózdź,KOBIETA
1473,Chwalimir,Leonarczyk,MEZCZYZNA
1474,Claudina,Socik,KOBIETA
1475,Crista,Sołowczuk,KOBIETA
1476,Binbin,Saverinas,KOBIETA
1477,Selina,Racino,KOBIETA
1478,Michał,Mazzieri,MEZCZYZNA
1479,Nuris,Tarkowski,KOBIETA
1480,Faustyn,Tylutki,MEZCZYZNA
1481,Wisław,Lesiński,MEZCZYZNA
1482,Augustyn,Sośniak,MEZCZYZNA
1483,Gwido,Danch,MEZCZYZNA
1484,Hasan,Krawczoski,MEZCZYZNA
1485,Henny,Kłymuś,KOBIETA
1486,Vadym,Zonzinski bruten,KOBIETA
1487,Ylva,Kasovska,KOBIETA
1488,Radogost,Szadkowski,MEZCZYZNA
1489,Hieronim,Rejmicz,MEZCZYZNA
1490,Hipolit,Mandziak,MEZCZYZNA
1491,Alfiia,Bodor,KOBIETA
1492,Astrid,Pawluch,KOBIETA
1493,Miroład,Daunke,MEZCZYZNA
1494,Malachiasz,Wojciulewicz,MEZCZYZNA
1495,Thao my,Grzewca,KOBIETA
1496,Angila,Znajszły,KOBIETA
1497,Teodozjusz,Bołtuć,MEZCZYZNA
1498,Stoigniew,Żarek,MEZCZYZNA
1499,Fabian,Horbanowicz,MEZCZYZNA
1500,Rusudani,Férasse,KOBIETA
1501,Żytomir,Szmyd,MEZCZYZNA
1502,Stanisław,Tęsiorowski,MEZCZYZNA
1503,Dżemil,Kupiec,MEZCZYZNA
1504,Kain,Blicharski,MEZCZYZNA
1505,Ludomił,Lichtblau,MEZCZYZNA
1506,Andrada,Savisko,KOBIETA
1507,Taly,Gvozdova,KOBIETA
1508,Jingru,Shin,KOBIETA
1509,Dobrogost,Dolepa,MEZCZYZNA
1510,Ivietta,Yunker,KOBIETA
1511,Szymon,Pąśko,MEZCZYZNA
1512,Leopold,Patykiewicz,MEZCZYZNA
1513,Zdenka,Mitina,KOBIETA
1514,Sulibor,Hudziec,MEZCZYZNA
1515,Dawid,Ludkowski,MEZCZYZNA
1516,Yam,Sonina,KOBIETA
1517,Kevine,Mazur-dudzińska,KOBIETA
1518,Donald,Kruszakin,MEZCZYZNA
1519,Lucía,Picińska,KOBIETA
1520,Bogumina,Tadla,KOBIETA
1521,Ezaw,Stampka,MEZCZYZNA
1522,Khanh ngan,Szofer-araya,KOBIETA
1523,Nguyen,Efner,KOBIETA
1524,Chunlian,Welyhorska,KOBIETA
1525,Szymon,Denisewicz,MEZCZYZNA
1526,Cecylian,Wiarek,MEZCZYZNA
1527,Ecri̇n,Szuba-wójcik,KOBIETA
1528,Teodozjusz,Obiegałka,MEZCZYZNA
1529,Gilbert,Jozinović,MEZCZYZNA
1530,Dhan,Rabyniuk,KOBIETA
1531,Julian,Kociuban,MEZCZYZNA
1532,Milahres,Martinez nieto,KOBIETA
1533,Šarlota,Weichelt,KOBIETA
1534,Sebastian,Lubański,MEZCZYZNA
1535,Ruzanna,Sibirtseva,KOBIETA
1536,Fela,Özsoy,KOBIETA
1537,María del pilar,Dimke,KOBIETA
1538,Donita,Petrunyk,KOBIETA
1539,Karma,Pochwała,KOBIETA
1540,Edward,Samuła,MEZCZYZNA
1541,Wirginiusz,Gobucki,MEZCZYZNA
1542,Agaton,Bej,MEZCZYZNA
1543,Ksenya,Krasicka,KOBIETA
1544,Louisa,Derebizova,KOBIETA
1545,Lubisław,Benski,MEZCZYZNA
1546,Miłosz,Szefliński,MEZCZYZNA
1547,Witold,Zwienczak,MEZCZYZNA
1548,Pikria,Katiushcheva,KOBIETA
1549,Harvi,Mezhuev,KOBIETA
1550,Alabama,Tutak-rutkowska,KOBIETA
1551,Luminitsa,Rudia,KOBIETA
1552,Józefat,Klonowicz,MEZCZYZNA
1553,Jonatan,Śliwiński,MEZCZYZNA
1554,Dionela,Puterko,KOBIETA
1555,Marin,Szalc,MEZCZYZNA
1556,Alazne,Legayeva,KOBIETA
1557,Jovielyn,Godja,KOBIETA
1558,Arkady,Horończyk,MEZCZYZNA
1559,Shiqin,Chiduku,KOBIETA
1560,Homa,Hudák,KOBIETA
1561,Andre,Ryżowicz,KOBIETA
1562,Protazy,Stiwe,MEZCZYZNA
1563,Adnan,Saczyński,MEZCZYZNA
1564,Alojzy,Konichał,MEZCZYZNA
1565,Nathalie,Zaskwara,KOBIETA
1566,Jur,Jurdziński,MEZCZYZNA
1567,Odo,Preweda,MEZCZYZNA
1568,Donat,Mylik,MEZCZYZNA
1569,Haiwei,Wajdenfeld,KOBIETA
1570,Thi hong tham,Wielgoławska,KOBIETA
1571,Jozafat,Osoch,MEZCZYZNA
1572,Shalimar,Wojda-wojciechowska,KOBIETA
1573,Feliks,Ziajkiewicz,MEZCZYZNA
1574,Liliya,Dowgwiłłowicz,KOBIETA
1575,Svatava,Wawrzynów,KOBIETA
1576,Zefir,Śmiałek,MEZCZYZNA
1577,Subisław,Siebiesiuk,MEZCZYZNA
1578,Princessa,Czerga,KOBIETA
1579,Bruno,Kościuk,MEZCZYZNA
1580,Marian,Boué,MEZCZYZNA
1581,Nagat,Gołda,KOBIETA
1582,Zygmunta,Łyskanowski,MEZCZYZNA
1583,Laysa,Pieła,KOBIETA
1584,Nelie,Welikson,KOBIETA
1585,Kseniia,Gard,KOBIETA
1586,Pemika,Sapishchuk,KOBIETA
1587,Albrecht,Bedyk,MEZCZYZNA
1588,Jangmu,Protaś-kowalska,KOBIETA
1589,Nataniel,Wardęga,MEZCZYZNA
1590,Żarko,Walko,MEZCZYZNA
1591,Kelli,Razvadovskaya,KOBIETA
1592,Anželika,Dyhdalevych,KOBIETA
1593,Leo,Haratym,MEZCZYZNA
1594,Armelia,Brake,KOBIETA
1595,Luydmyla,Bimer,KOBIETA
1596,Kendra,Humienna,KOBIETA
1597,Lilanda,Tuczapska,KOBIETA
1598,Alojzy,Godzisz,MEZCZYZNA
1599,Arletta,Vainovska,KOBIETA
1600,Abelard,Parobczyk,MEZCZYZNA
1601,Akadia,Oufary,KOBIETA
1602,Szymon,Ścieszkowski,MEZCZYZNA
1603,Radomir,Niewczyk,MEZCZYZNA
1604,Anouchka,Ursem,KOBIETA
1605,Amélie,Bogdan,KOBIETA
1606,Oktawian,Karnas,MEZCZYZNA
1607,Anastazy,Gryzka,MEZCZYZNA
1608,Katerin,Itman,KOBIETA
1609,Thị phương nga,Gasparjan,KOBIETA
1610,Lixin,Ulmanek,KOBIETA
1611,Leizl,Strubelt,KOBIETA
1612,Mojmir,Zulauf,MEZCZYZNA
1613,Edward,Pezda,MEZCZYZNA
1614,Wincenty,Vlach,MEZCZYZNA
1615,Alyn,Vardapetyan,KOBIETA
1616,Przemysław,Pec,MEZCZYZNA
1617,Ludwik,Rach,MEZCZYZNA
1618,Heliodor,Jaszcza,MEZCZYZNA
1619,Radosław,Marszałek,MEZCZYZNA
1620,Lubomił,Musialski,MEZCZYZNA
1621,Roman,Cosma,MEZCZYZNA
1622,Abelard,Bytys,MEZCZYZNA
1623,Sammy,Turzai,KOBIETA
1624,Teobald,Bożym,MEZCZYZNA
1625,Dżamil,Bujarski,MEZCZYZNA
1626,Cecyl,Nurzyński,MEZCZYZNA
1627,Teodozjusz,Filiszewski,MEZCZYZNA
1628,Yoni,Kremkowska,KOBIETA
1629,Gracjan,Lędźwa,MEZCZYZNA
1630,Hayarpi,Mirecka-kołt,KOBIETA
1631,Bert,Kunecki,MEZCZYZNA
1632,Paskal,Klin,MEZCZYZNA
1633,Khayala,Smoląg,NIEOKRESLONY
1634,Tunezja,Braig,KOBIETA
1635,Miyu,Postowicz,KOBIETA
1636,Pawanrat,Kuplovska,KOBIETA
1637,Haeun,Klabuhn,KOBIETA
1638,Szymon,Chiński,MEZCZYZNA
1639,Faris,Kurcewicz,MEZCZYZNA
1640,Wirgiliusz,Goliszewski,MEZCZYZNA
1641,Ernestyna,Cherdakliieva,KOBIETA
1642,Teodor,Tyrakowski,MEZCZYZNA
1643,Miluška,Goryc,KOBIETA
1644,Vesta,Kijek,KOBIETA
1645,Dżemil,Korkus,MEZCZYZNA
1646,Faustyna,Constantinidou,KOBIETA
1647,Lubisław,Kalla,MEZCZYZNA
1648,Gwidon,Ciekot,MEZCZYZNA
1649,Olgierd,Gołdyń,MEZCZYZNA
1650,Bazyli,Siol,MEZCZYZNA
1651,Edwin,Knoch,MEZCZYZNA
1652,Zachariasz,Mazan,MEZCZYZNA
1653,Fatimat,Ratnikova,KOBIETA
1654,Gniewomir,Prystaj,MEZCZYZNA
1655,Flyura,Wicnudel,KOBIETA
1656,Kwiatosław,Miliniewski,MEZCZYZNA
1657,Maksymilian,Kosz,MEZCZYZNA
1658,Jacenty,Patynowski,MEZCZYZNA
1659,Bożydar,Oklejak,MEZCZYZNA
1660,Idyta,Trystuła,KOBIETA
1661,Safie,Czerwienko,KOBIETA
1662,Emir,Szudrzyński,MEZCZYZNA
1663,Ursyn,Paluszkiewicz,MEZCZYZNA
1664,Jan,Śniadach,MEZCZYZNA
1665,Di̇cle,Panfiluk,KOBIETA
1666,Leonah,Zakrynychna,KOBIETA
1667,Wrocisław,Błocki,MEZCZYZNA
1668,Ezechiel,Davchevski,MEZCZYZNA
1669,Parichart,Olinek,KOBIETA
1670,Te-ju,Bohatyrenko,KOBIETA
1671,Yenglik,Bertocchi,KOBIETA
1672,Dobrila,Aref,KOBIETA
1673,Behi̇ye,Oskędra,KOBIETA
1674,Tu,Trayanava,KOBIETA
1675,Dobrawa,Thephavongsa,KOBIETA
1676,Ewaryst,Klember,MEZCZYZNA
1677,Bogusz,Treska,MEZCZYZNA
1678,Rejoyce,Szurani,KOBIETA
1679,Maurycjusz,Both,MEZCZYZNA
1680,Zvia,Sesiutchenkova,KOBIETA
1681,Shruti,Koslowska,KOBIETA
1682,Damian,Łokieć,MEZCZYZNA
1683,Patrycjusz,Alzuszczak,MEZCZYZNA
1684,Norbert,Świstek,MEZCZYZNA
1685,Nezhdana,Uliczny,KOBIETA
1686,Walfryda,Felkerzam,KOBIETA
1687,Nectaria,Wichmanowska,KOBIETA
1688,Jacklin,Śmigocka,KOBIETA
1689,Sławomir,Sikora-matham,MEZCZYZNA
1690,Radomir,Dragan,MEZCZYZNA
1691,Eryka,Tsykylok,KOBIETA
1692,Soon,Lubke,KOBIETA
1693,Apollo,Żmujdzian,MEZCZYZNA
1694,Amadeusz,Sobal,MEZCZYZNA
1695,Elaine,Dźwierzyńska,KOBIETA
1696,Kemal,Wędt,MEZCZYZNA
1697,Amin,Glinkowski,KOBIETA
1698,Judita,Tawrelis,KOBIETA
1699,Sofroniusz,Kuziemkowski,MEZCZYZNA
1700,Jung hee,Viriasova,KOBIETA
1701,Saveta,Parshykova,KOBIETA
1702,Tomisław,Łojowski,MEZCZYZNA
1703,Colletta,Sopalla,NIEOKRESLONY
1704,Thuy dung,Wallach,KOBIETA
1705,Gwido,Komo-libio,MEZCZYZNA
1706,Rahaf,Donahue,KOBIETA
1707,Astera,Kunitskaya,KOBIETA
1708,Ivana,Onufrejczyk,NIEOKRESLONY
1709,Antonin,Bozymowski,MEZCZYZNA
1710,Maurycy,Domańczyk,MEZCZYZNA
1711,Cyryl,Pietrów,MEZCZYZNA
1712,Guzial,Wielczyk,KOBIETA
1713,Qingyu,Zawiłkowska,KOBIETA
1714,Starwit,Dziadowiec,MEZCZYZNA
1715,Kornel-korni,Bustrycki,MEZCZYZNA
1716,Ariel,Ludwin,MEZCZYZNA
1717,Lucjan,Brozdowski,MEZCZYZNA
1718,Makary,Migocki,MEZCZYZNA
1719,Erwin,Lampinen,MEZCZYZNA
1720,Sylwester,Ryniak,MEZCZYZNA
1721,Ornelia,Amusa,KOBIETA
1722,Tolisława,Śmiejowska,KOBIETA
1723,Hanusz,Zawada,MEZCZYZNA
1724,Younah,Chmus,KOBIETA
1725,Stoisław,Magdziarz ibrahim-el-nur,MEZCZYZNA
1726,Dobroniega,Grzegosz,KOBIETA
1727,Apollo,Szklanecki,MEZCZYZNA
1728,Jur,Stepek,MEZCZYZNA
1729,Květoslava,Kilewski,KOBIETA
1730,Aleksy,Oksiński,MEZCZYZNA
1731,Cirilla,Sadowska-czarnota,KOBIETA
1732,Tambudzai,Andrykevych,KOBIETA
1733,Huiqing,Tsytrikova,KOBIETA
1734,Cindarella,Hasselmann,KOBIETA
1735,Świętopełk,Ruda,MEZCZYZNA
1736,Edmund,Brzeczkowski,MEZCZYZNA
1737,Baltazar,Tumielewicz,MEZCZYZNA
1738,Hà phương,Wittenbecher,KOBIETA
1739,Shiho,Varda,KOBIETA
1740,Karol,Stanulewicz,MEZCZYZNA
1741,Ma'ayan,Zatelmajer,KOBIETA
1742,Ana mae,Fabiańczuk,KOBIETA
1743,Wespazjan,Gazdecki,MEZCZYZNA
1744,Toma,Lalaiants,KOBIETA
1745,Thanh truc,Granieczna,KOBIETA
1746,Wisław,Charniak,MEZCZYZNA
1747,Ładysław,Betge,MEZCZYZNA
1748,Bingbing,Shykyriava,KOBIETA
1749,Oleksanra,Vauléon,KOBIETA
1750,Karmena,Gruetzmann,KOBIETA
1751,Tarik,Sitański,MEZCZYZNA
1752,Beibei,Militsch,KOBIETA
1753,Olha-anhelina,Sushak,KOBIETA
1754,Ezechiel,Dyrynda,MEZCZYZNA
1755,Thi quy,Stockmann,KOBIETA
1756,Gerard,Rajwa,MEZCZYZNA
1757,Thao nhi,Kolchina,KOBIETA
1758,Funmilayo,Griffith,KOBIETA
1759,Bodosław,Ryniewicz,MEZCZYZNA
1760,Pabian,Ksenycz,MEZCZYZNA
1761,Bernadia,Clarke-ejuren,KOBIETA
1762,Siyi,Hespodarikova,KOBIETA
1763,Kemal,Kornes,MEZCZYZNA
1764,Kryspin,Szafratowicz,MEZCZYZNA
1765,Angeliya,Șclearuc,KOBIETA
1766,Bartosz,Wajner,MEZCZYZNA
1767,An nhien,Khmelevskaia,KOBIETA
1768,Klemens,Bressan,MEZCZYZNA
1769,Leehe,Szaluś,KOBIETA
1770,Oswald,Grzegórzek,MEZCZYZNA
1771,Ezaw,Brolik,MEZCZYZNA
1772,Romuald,Mardyło,MEZCZYZNA
1773,Uljana,Kretkowska,KOBIETA
1774,Burçak,Sevyrynko,KOBIETA
1775,Olivija,Łunarzewska,KOBIETA
1776,Sylvia,Jankowska-janicka,KOBIETA
1777,Sobiesław,Dapa,MEZCZYZNA
1778,Erjona,Polegeshko,KOBIETA
1779,Miłogost,Bimbir,MEZCZYZNA
1780,Berrak,Treschanski,KOBIETA
1781,Robynne,Hereni,KOBIETA
1782,Loryne,Pleszka,KOBIETA
1783,Bogumir,Gawron,MEZCZYZNA
1784,Teodor,Gabel,MEZCZYZNA
1785,Radina,Islamova,KOBIETA
1786,Rotraud,Moreva,KOBIETA
1787,Tomasz,Odwrocki,MEZCZYZNA
1788,Przedpełk,Omyła,MEZCZYZNA
1789,Fortunat,Kamianka,MEZCZYZNA
1790,Boguchwał,Dzidek,MEZCZYZNA
1791,Bayartuya,Pietrończyk,KOBIETA
1792,Yafei,Brancewicz,KOBIETA
1793,Adriyana,Pokrovetska,KOBIETA
1794,Rezarta,Tsekhonia,KOBIETA
1795,Olgierd,Baracz,MEZCZYZNA
1796,Jada,Dada,KOBIETA
1797,Imanuella,Kruszynski,KOBIETA
1798,Placyd,Paczek,MEZCZYZNA
1799,Seoyoun,Grondas,KOBIETA
1800,Olgierd,Łukajewicz,MEZCZYZNA
1801,Adelajda,Folik,KOBIETA
1802,Berta,Kontrabecka,KOBIETA
1803,Le mai,Holokoz,KOBIETA
1804,Guljan,Cherniata,KOBIETA
1805,Lubomir,Prajsner,MEZCZYZNA
1806,Bingbing,Marcioha,KOBIETA
1807,Kain,Pers,MEZCZYZNA
1808,Justyn,Pasturkiewicz,MEZCZYZNA
1809,Tiffanie,Suchy lipińska,KOBIETA
1810,Jasuf,Popłoński,MEZCZYZNA
1811,Celestyn,Szypniewski,MEZCZYZNA
1812,Shamita,Haichova,KOBIETA
1813,Myong suk,Troianovych,KOBIETA
1814,Emanuel,Szumigraj,MEZCZYZNA
1815,Wielisław,Bartoszyński,MEZCZYZNA
1816,Doyoung,Berli,KOBIETA
1817,Assylzhan,Sałata-sałacińska,KOBIETA
1818,Aleksander,Wolak,MEZCZYZNA
1819,Sławomierz,Bendykowski,MEZCZYZNA
1820,Ni nyoman,Nabiullina,KOBIETA
1821,Madalina,Dukata,KOBIETA
